,date,status,age_group,gender,count,rate_per_100000
1,2020-01-18,cases,0 to 11,male,1,0.040006657
2,2020-01-18,cases,0 to 11,female,1,0.042095143
3,2020-01-18,cases,0 to 11,all,2,0.041024337
4,2020-01-18,cases,12 to 19,female,1,0.058114937
5,2020-01-18,cases,12 to 19,all,1,0.028172252
6,2020-01-18,cases,20 to 29,male,1,0.034692998
7,2020-01-18,cases,20 to 29,all,1,0.018101484
8,2020-01-18,cases,30 to 39,male,1,0.033914906
9,2020-01-18,cases,30 to 39,all,1,0.017284588
10,2020-01-18,cases,50 to 59,male,1,0.040594004
11,2020-01-18,cases,50 to 59,female,1,0.039726286
12,2020-01-18,cases,50 to 59,all,2,0.040155458
13,2020-01-18,cases,all,male,4,0.019986302
14,2020-01-18,cases,all,female,3,0.014937223
15,2020-01-18,cases,all,all,7,0.017457334
16,2020-01-18,hospitalizations,50 to 59,male,1,0.040594004
17,2020-01-18,hospitalizations,50 to 59,all,1,0.020077729
18,2020-01-18,hospitalizations,all,male,1,0.004996576
19,2020-01-18,hospitalizations,all,all,1,0.002493905
20,2020-01-25,cases,20 to 29,male,1,0.034692998
21,2020-01-25,cases,20 to 29,female,3,0.113551071
22,2020-01-25,cases,20 to 29,all,4,0.072405935
23,2020-01-25,cases,30 to 39,female,1,0.035249185
24,2020-01-25,cases,30 to 39,all,1,0.017284588
25,2020-01-25,cases,40 to 49,male,1,0.03893564
26,2020-01-25,cases,40 to 49,all,1,0.019487141
27,2020-01-25,cases,50 to 59,male,1,0.040594004
28,2020-01-25,cases,50 to 59,female,1,0.039726286
29,2020-01-25,cases,50 to 59,all,2,0.040155458
30,2020-01-25,cases,70 to 79,female,1,0.05642271
31,2020-01-25,cases,70 to 79,all,1,0.029653335
32,2020-01-25,cases,80+,female,1,0.093343838
33,2020-01-25,cases,80+,all,1,0.055098149
34,2020-01-25,cases,all,male,3,0.014989727
35,2020-01-25,cases,all,female,7,0.034853521
36,2020-01-25,cases,all,all,10,0.024939048
37,2020-01-25,hospitalizations,40 to 49,male,1,0.03893564
38,2020-01-25,hospitalizations,40 to 49,all,1,0.019487141
39,2020-01-25,hospitalizations,all,male,1,0.004996576
40,2020-01-25,hospitalizations,all,all,1,0.002493905
41,2020-01-25,icu,40 to 49,male,1,0.03893564
42,2020-01-25,icu,40 to 49,all,1,0.019487141
43,2020-01-25,icu,all,male,1,0.004996576
44,2020-01-25,icu,all,all,1,0.002493905
45,2020-02-01,cases,0 to 11,male,1,0.040006657
46,2020-02-01,cases,0 to 11,female,1,0.042095143
47,2020-02-01,cases,0 to 11,all,2,0.041024337
48,2020-02-01,cases,20 to 29,male,1,0.034692998
49,2020-02-01,cases,20 to 29,female,3,0.113551071
50,2020-02-01,cases,20 to 29,all,4,0.072405935
51,2020-02-01,cases,30 to 39,female,2,0.070498371
52,2020-02-01,cases,30 to 39,all,2,0.034569176
53,2020-02-01,cases,40 to 49,female,1,0.039013002
54,2020-02-01,cases,40 to 49,all,1,0.019487141
55,2020-02-01,cases,50 to 59,male,1,0.040594004
56,2020-02-01,cases,50 to 59,female,4,0.158905144
57,2020-02-01,cases,50 to 59,all,5,0.100388645
58,2020-02-01,cases,60 to 69,male,3,0.121020591
59,2020-02-01,cases,60 to 69,female,1,0.03868906
60,2020-02-01,cases,60 to 69,all,4,0.07899476
61,2020-02-01,cases,all,male,6,0.029979454
62,2020-02-01,cases,all,female,12,0.059748893
63,2020-02-01,cases,all,all,18,0.044890287
64,2020-02-01,hospitalizations,50 to 59,female,1,0.039726286
65,2020-02-01,hospitalizations,50 to 59,all,1,0.020077729
66,2020-02-01,hospitalizations,all,female,1,0.004979074
67,2020-02-01,hospitalizations,all,all,1,0.002493905
68,2020-02-01,icu,50 to 59,female,1,0.039726286
69,2020-02-01,icu,50 to 59,all,1,0.020077729
70,2020-02-01,icu,all,female,1,0.004979074
71,2020-02-01,icu,all,all,1,0.002493905
72,2020-02-08,cases,12 to 19,male,1,0.054678751
73,2020-02-08,cases,12 to 19,all,1,0.028172252
74,2020-02-08,cases,20 to 29,male,1,0.034692998
75,2020-02-08,cases,20 to 29,female,1,0.037850357
76,2020-02-08,cases,20 to 29,all,2,0.036202968
77,2020-02-08,cases,30 to 39,male,1,0.033914906
78,2020-02-08,cases,30 to 39,female,2,0.070498371
79,2020-02-08,cases,30 to 39,all,3,0.051853763
80,2020-02-08,cases,all,male,3,0.014989727
81,2020-02-08,cases,all,female,3,0.014937223
82,2020-02-08,cases,all,all,6,0.014963429
83,2020-02-15,cases,0 to 11,male,2,0.080013314
84,2020-02-15,cases,0 to 11,all,2,0.041024337
85,2020-02-15,cases,12 to 19,male,1,0.054678751
86,2020-02-15,cases,12 to 19,female,2,0.116229875
87,2020-02-15,cases,12 to 19,all,3,0.084516756
88,2020-02-15,cases,30 to 39,female,3,0.105747556
89,2020-02-15,cases,30 to 39,all,3,0.051853763
90,2020-02-15,cases,40 to 49,male,1,0.03893564
91,2020-02-15,cases,40 to 49,female,1,0.039013002
92,2020-02-15,cases,40 to 49,all,2,0.038974283
93,2020-02-15,cases,60 to 69,male,2,0.080680394
94,2020-02-15,cases,60 to 69,female,1,0.03868906
95,2020-02-15,cases,60 to 69,all,3,0.05924607
96,2020-02-15,cases,70 to 79,female,1,0.05642271
97,2020-02-15,cases,70 to 79,all,1,0.029653335
98,2020-02-15,cases,80+,male,1,0.134474574
99,2020-02-15,cases,80+,all,1,0.055098149
100,2020-02-15,cases,all,male,7,0.034976029
101,2020-02-15,cases,all,female,8,0.039832596
102,2020-02-15,cases,all,all,15,0.037408573
103,2020-02-15,hospitalizations,30 to 39,female,1,0.035249185
104,2020-02-15,hospitalizations,30 to 39,all,1,0.017284588
105,2020-02-15,hospitalizations,80+,male,1,0.134474574
106,2020-02-15,hospitalizations,80+,all,1,0.055098149
107,2020-02-15,hospitalizations,all,male,1,0.004996576
108,2020-02-15,hospitalizations,all,female,1,0.004979074
109,2020-02-15,hospitalizations,all,all,2,0.00498781
110,2020-02-15,icu,30 to 39,female,1,0.035249185
111,2020-02-15,icu,30 to 39,all,1,0.017284588
112,2020-02-15,icu,80+,male,1,0.134474574
113,2020-02-15,icu,80+,all,1,0.055098149
114,2020-02-15,icu,all,male,1,0.004996576
115,2020-02-15,icu,all,female,1,0.004979074
116,2020-02-15,icu,all,all,2,0.00498781
117,2020-02-22,cases,0 to 11,female,1,0.042095143
118,2020-02-22,cases,0 to 11,all,1,0.020512168
119,2020-02-22,cases,20 to 29,male,2,0.069385996
120,2020-02-22,cases,20 to 29,female,1,0.037850357
121,2020-02-22,cases,20 to 29,all,3,0.054304451
122,2020-02-22,cases,30 to 39,female,3,0.105747556
123,2020-02-22,cases,30 to 39,all,3,0.051853763
124,2020-02-22,cases,40 to 49,male,3,0.116806919
125,2020-02-22,cases,40 to 49,female,3,0.117039007
126,2020-02-22,cases,40 to 49,all,6,0.116922848
127,2020-02-22,cases,50 to 59,male,2,0.081188008
128,2020-02-22,cases,50 to 59,female,1,0.039726286
129,2020-02-22,cases,50 to 59,all,3,0.060233187
130,2020-02-22,cases,60 to 69,male,2,0.080680394
131,2020-02-22,cases,60 to 69,female,2,0.07737812
132,2020-02-22,cases,60 to 69,all,4,0.07899476
133,2020-02-22,cases,70 to 79,male,1,0.062501328
134,2020-02-22,cases,70 to 79,female,6,0.33853626
135,2020-02-22,cases,70 to 79,all,7,0.207573343
136,2020-02-22,cases,80+,male,1,0.134474574
137,2020-02-22,cases,80+,all,1,0.055098149
138,2020-02-22,cases,all,male,11,0.054962332
139,2020-02-22,cases,all,female,17,0.084644266
140,2020-02-22,cases,all,all,28,0.069829335
141,2020-02-22,hospitalizations,50 to 59,male,1,0.040594004
142,2020-02-22,hospitalizations,50 to 59,all,1,0.020077729
143,2020-02-22,hospitalizations,60 to 69,male,1,0.040340197
144,2020-02-22,hospitalizations,60 to 69,all,1,0.01974869
145,2020-02-22,hospitalizations,all,male,2,0.009993151
146,2020-02-22,hospitalizations,all,all,2,0.00498781
147,2020-02-29,cases,0 to 11,male,1,0.040006657
148,2020-02-29,cases,0 to 11,all,1,0.020512168
149,2020-02-29,cases,12 to 19,male,1,0.054678751
150,2020-02-29,cases,12 to 19,female,2,0.116229875
151,2020-02-29,cases,12 to 19,all,3,0.084516756
152,2020-02-29,cases,20 to 29,female,5,0.189251786
153,2020-02-29,cases,20 to 29,all,5,0.090507419
154,2020-02-29,cases,30 to 39,male,5,0.169574531
155,2020-02-29,cases,30 to 39,female,6,0.211495112
156,2020-02-29,cases,30 to 39,all,11,0.190130466
157,2020-02-29,cases,40 to 49,male,4,0.155742559
158,2020-02-29,cases,40 to 49,female,3,0.117039007
159,2020-02-29,cases,40 to 49,all,7,0.136409989
160,2020-02-29,cases,50 to 59,male,6,0.243564024
161,2020-02-29,cases,50 to 59,female,12,0.476715431
162,2020-02-29,cases,50 to 59,all,18,0.361399121
163,2020-02-29,cases,60 to 69,male,15,0.605102954
164,2020-02-29,cases,60 to 69,female,11,0.425579659
165,2020-02-29,cases,60 to 69,all,26,0.513465941
166,2020-02-29,cases,70 to 79,male,6,0.375007969
167,2020-02-29,cases,70 to 79,female,3,0.16926813
168,2020-02-29,cases,70 to 79,all,9,0.266880013
169,2020-02-29,cases,80+,male,3,0.403423723
